id,product_id,sku,brand,name,stock,cover_product_photo,cover_variant_photo,variant_photo,created_at
64,64,9901011964,Aurora,Aurora 4018-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/4018.png,prdimg.valeriawallpaper.com/wallpaper/cover/4018.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4018/4018-1.png,2026-01-20 05:40:39
65,65,9901011965,Aurora,Aurora 4018-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/4018.png,prdimg.valeriawallpaper.com/wallpaper/cover/4018.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4018/4018-2.png,2026-01-20 05:40:39
66,66,9901011966,Aurora,Aurora 4018-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/4018.png,prdimg.valeriawallpaper.com/wallpaper/cover/4018.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4018/4018-3.png,2026-01-20 05:40:39
67,67,9901012067,Aurora,Aurora 4019-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4019/4019-1.png,2026-01-20 05:40:39
68,68,9901012068,Aurora,Aurora 4019-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4019/4019-2.png,2026-01-20 05:40:39
69,69,9901012069,Aurora,Aurora 4019-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4019/4019-3.png,2026-01-20 05:40:39
70,70,9901012070,Aurora,Aurora 4019-4,500,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/cover/4019.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4019/4019-4.png,2026-01-20 05:40:39
71,71,9901012171,Aurora,Aurora 4020-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/4020.png,prdimg.valeriawallpaper.com/wallpaper/cover/4020.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4020/4020-1.png,2026-01-20 05:40:39
72,72,9901012272,Aurora,Aurora 4021-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/4021.png,prdimg.valeriawallpaper.com/wallpaper/cover/4021.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4021/4021-1.png,2026-01-20 05:40:39
73,73,9901012273,Aurora,Aurora 4021-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/4021.png,prdimg.valeriawallpaper.com/wallpaper/cover/4021.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4021/4021-2.png,2026-01-20 05:40:39
74,74,9901012374,Aurora,Aurora 4022-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4022/4022-1.png,2026-01-20 05:40:39
75,75,9901012375,Aurora,Aurora 4022-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4022/4022-2.png,2026-01-20 05:40:39
76,76,9901012376,Aurora,Aurora 4022-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4022/4022-3.png,2026-01-20 05:40:39
77,77,9901012377,Aurora,Aurora 4022-4,500,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/cover/4022.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4022/4022-4.png,2026-01-20 05:40:39
78,78,9901012478,Aurora,Aurora 4023-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/4023.png,prdimg.valeriawallpaper.com/wallpaper/cover/4023.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4023/4023-1.png,2026-01-20 05:40:39
79,79,9901012479,Aurora,Aurora 4023-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/4023.png,prdimg.valeriawallpaper.com/wallpaper/cover/4023.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4023/4023-2.png,2026-01-20 05:40:39
80,80,9901012480,Aurora,Aurora 4023-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/4023.png,prdimg.valeriawallpaper.com/wallpaper/cover/4023.png,prdimg.valeriawallpaper.com/wallpaper/Varian/4023/4023-3.png,2026-01-20 05:40:39
81,81,9901020181,Kids Story,Kids Story K1-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K1/K1-1.png,2026-01-20 05:40:39
82,82,9901020182,Kids Story,Kids Story K1-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K1/K1-2.png,2026-01-20 05:40:39
83,83,9901020183,Kids Story,Kids Story K1-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K1/K1-3.png,2026-01-20 05:40:39
84,84,9901020184,Kids Story,Kids Story K1-4,500,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K1/K1-4.png,2026-01-20 05:40:39
85,85,9901020185,Kids Story,Kids Story K1-5,500,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/cover/K1.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K1/K1-5.png,2026-01-20 05:40:39
86,86,9901020286,Kids Story,Kids Story K10-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K10/K10-1.png,2026-01-20 05:40:39
87,87,9901020287,Kids Story,Kids Story K10-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K10/K10-2.png,2026-01-20 05:40:39
88,88,9901020288,Kids Story,Kids Story K10-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K10/K10-3.png,2026-01-20 05:40:39
89,89,9901020289,Kids Story,Kids Story K10-4 ,500,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/cover/K10.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K10/K10-4 .png,2026-01-20 05:40:39
90,90,9901020390,Kids Story,Kids Story K11-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K11/K11-1.png,2026-01-20 05:40:39
91,91,9901020391,Kids Story,Kids Story K11-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K11/K11-2.png,2026-01-20 05:40:39
92,92,9901020392,Kids Story,Kids Story K11-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K11/K11-3.png,2026-01-20 05:40:39
93,93,9901020393,Kids Story,Kids Story K11-4,500,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/cover/K11.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K11/K11-4.png,2026-01-20 05:40:39
94,94,9901020494,Kids Story,Kids Story K12-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K12/K12-1.png,2026-01-20 05:40:39
95,95,9901020495,Kids Story,Kids Story K12-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K12/K12-2.png,2026-01-20 05:40:39
96,96,9901020496,Kids Story,Kids Story K12-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K12/K12-3.png,2026-01-20 05:40:39
97,97,9901020497,Kids Story,Kids Story K12-4,500,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/cover/K12.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K12/K12-4.png,2026-01-20 05:40:39
98,98,9901020598,Kids Story,Kids Story K13-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/K13.png,prdimg.valeriawallpaper.com/wallpaper/cover/K13.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K13/K13-1.png,2026-01-20 05:40:39
99,99,9901020599,Kids Story,Kids Story K13-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/K13.png,prdimg.valeriawallpaper.com/wallpaper/cover/K13.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K13/K13-2.png,2026-01-20 05:40:39
100,100,99010205100,Kids Story,Kids Story K13-3,500,prdimg.valeriawallpaper.com/wallpaper/cover/K13.png,prdimg.valeriawallpaper.com/wallpaper/cover/K13.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K13/K13-3.png,2026-01-20 05:40:39
101,101,99010206101,Kids Story,Kids Story K14-1,500,prdimg.valeriawallpaper.com/wallpaper/cover/K14.png,prdimg.valeriawallpaper.com/wallpaper/cover/K14.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K14/K14-1.png,2026-01-20 05:40:39
102,102,99010206102,Kids Story,Kids Story K14-2,500,prdimg.valeriawallpaper.com/wallpaper/cover/K14.png,prdimg.valeriawallpaper.com/wallpaper/cover/K14.png,prdimg.valeriawallpaper.com/wallpaper/Varian/K14/K14-2.png,2026-01-20 05:40:39
